,Kenya,"China, Taiwan Province of",Belarus,Croatia,Syrian Arab Republic,Brazil,Australia,Nepal,Uzbekistan,Denmark,The former Yugoslav Republic of Macedonia,Greece,Tunisia,Zimbabwe,Republic of Korea,Norway,Yemen,Australia & New Zealand,Yugoslav SFR,Guatemala,Algeria,Slovenia,Madagascar,Tajikistan,Latvia,Luxembourg,Israel,Belgium,Turkmenistan,Switzerland,Grenada,Uruguay,Azerbaijan,Egypt,Bosnia and Herzegovina,China,Malta,Colombia,Libya,Lebanon,Kyrgyzstan,Occupied Palestinian Territory,Chile,Hungary,Montenegro,Kazakhstan,Estonia,Saint Vincent and the Grenadines,Portugal,Poland,"China, mainland",Russian Federation,Italy,Ukraine,Bolivia (Plurinational State of),Peru,Democratic People's Republic of Korea,Serbia and Montenegro,Serbia,India,Armenia,United Kingdom,Canada,Japan,Afghanistan,Iraq,Cyprus,Spain,New Zealand,Bulgaria,United States of America,Iran (Islamic Republic of),Pakistan,Czechoslovakia,Czechia,Argentina,Paraguay,Georgia,Germany,El Salvador,Austria,Morocco,Bhutan,Sweden,USSR,Mexico,Romania,Ecuador,Honduras,Jordan,Ireland,Albania,Slovakia,France,South Africa,Réunion,Lithuania,Finland,Netherlands,Turkey,Republic of Moldova,Belgium-Luxembourg
1961,-1.0,-1.0,-1.0,-1.0,2000.0,2097.0,26656.0,-1.0,-1.0,-1.0,-1.0,28200.0,1600.0,150.0,11315.0,-1.0,-1.0,29976.0,-1.0,570.0,3400.0,-1.0,6900.0,-1.0,-1.0,-1.0,1100.0,-1.0,-1.0,2700.0,-1.0,-1.0,-1.0,420.0,-1.0,90000.0,-1.0,-1.0,-1.0,11275.0,-1.0,-1.0,12000.0,-1.0,-1.0,-1.0,-1.0,-1.0,15000.0,-1.0,90000.0,-1.0,104700.0,-1.0,2700.0,5500.0,10000.0,-1.0,-1.0,44500.0,-1.0,31000.0,32190.0,63500.0,2220.0,-1.0,1086.0,16800.0,3320.0,19685.0,184780.0,19000.0,1400.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1000.0,-1.0,771000.0,7809.0,21000.0,800.0,-1.0,2000.0,3000.0,-1.0,-1.0,97362.0,7000.0,-1.0,-1.0,500.0,-1.0,48533.0,-1.0,3800.0
1962,-1.0,-1.0,-1.0,-1.0,6000.0,2349.0,26658.0,-1.0,-1.0,-1.0,-1.0,28300.0,750.0,170.0,11380.0,-1.0,-1.0,30104.0,-1.0,570.0,3100.0,-1.0,6900.0,-1.0,-1.0,-1.0,1500.0,-1.0,-1.0,4800.0,-1.0,-1.0,-1.0,420.0,-1.0,95000.0,-1.0,-1.0,-1.0,11300.0,-1.0,-1.0,12200.0,-1.0,-1.0,-1.0,-1.0,-1.0,15000.0,-1.0,95000.0,-1.0,104800.0,-1.0,2700.0,5500.0,10000.0,-1.0,-1.0,38500.0,-1.0,33000.0,38680.0,64700.0,2220.0,-1.0,1143.0,17400.0,3446.0,21443.0,182390.0,19000.0,1900.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1050.0,-1.0,847000.0,8544.0,19000.0,828.0,-1.0,2400.0,3000.0,-1.0,-1.0,102946.0,8000.0,-1.0,-1.0,552.0,-1.0,54537.0,-1.0,3800.0
1963,-1.0,-1.0,-1.0,-1.0,6000.0,2324.0,27473.0,-1.0,-1.0,-1.0,-1.0,28300.0,850.0,200.0,11511.0,-1.0,-1.0,31043.0,-1.0,620.0,2800.0,-1.0,6900.0,-1.0,-1.0,-1.0,1550.0,-1.0,-1.0,3600.0,-1.0,-1.0,-1.0,420.0,-1.0,95000.0,-1.0,-1.0,-1.0,11500.0,-1.0,-1.0,12200.0,-1.0,-1.0,-1.0,-1.0,-1.0,18000.0,-1.0,95000.0,-1.0,105000.0,-1.0,2700.0,5500.0,10000.0,-1.0,-1.0,33700.0,-1.0,32000.0,44900.0,65300.0,2220.0,-1.0,1186.0,18100.0,3570.0,23013.0,182390.0,19000.0,3200.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1100.0,-1.0,888000.0,10305.0,10500.0,851.0,-1.0,2200.0,3000.0,-1.0,-1.0,104915.0,8000.0,-1.0,-1.0,503.0,-1.0,56907.0,-1.0,3800.0
1964,-1.0,-1.0,-1.0,-1.0,6000.0,2271.0,27794.0,-1.0,-1.0,-1.0,-1.0,28700.0,750.0,200.0,12627.0,-1.0,-1.0,31594.0,-1.0,650.0,2700.0,-1.0,7700.0,-1.0,-1.0,-1.0,2200.0,-1.0,-1.0,4000.0,-1.0,-1.0,-1.0,420.0,-1.0,100000.0,-1.0,-1.0,-1.0,11438.0,-1.0,-1.0,12800.0,-1.0,-1.0,-1.0,-1.0,-1.0,17000.0,-1.0,100000.0,-1.0,106400.0,-1.0,2700.0,6100.0,10000.0,-1.0,-1.0,26500.0,-1.0,35000.0,39060.0,65300.0,2350.0,-1.0,1214.0,22200.0,3800.0,24282.0,182630.0,20000.0,3800.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1100.0,-1.0,906000.0,10531.0,18100.0,873.0,-1.0,3300.0,2000.0,-1.0,-1.0,106956.0,10000.0,-1.0,-1.0,584.0,-1.0,58633.0,-1.0,3800.0
1965,-1.0,-1.0,-1.0,-1.0,6000.0,2375.0,28722.0,-1.0,-1.0,-1.0,-1.0,29000.0,1500.0,230.0,18693.0,-1.0,-1.0,32512.0,-1.0,660.0,2900.0,-1.0,7700.0,-1.0,-1.0,-1.0,2000.0,-1.0,-1.0,2478.0,-1.0,-1.0,-1.0,449.0,-1.0,110000.0,-1.0,-1.0,-1.0,10960.0,-1.0,-1.0,13200.0,-1.0,-1.0,-1.0,-1.0,-1.0,18000.0,-1.0,110000.0,-1.0,107700.0,-1.0,2800.0,5660.0,10000.0,-1.0,-1.0,21700.0,-1.0,32000.0,43080.0,65600.0,2480.0,-1.0,1257.0,26400.0,3790.0,25972.0,175270.0,21000.0,4200.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1150.0,-1.0,949000.0,11588.0,31000.0,610.0,-1.0,3000.0,1500.0,-1.0,-1.0,105816.0,10000.0,-1.0,-1.0,526.0,-1.0,60000.0,-1.0,3800.0
1966,-1.0,-1.0,-1.0,-1.0,7511.0,2378.0,28778.0,-1.0,-1.0,-1.0,-1.0,26000.0,1300.0,250.0,19371.0,-1.0,-1.0,32670.0,-1.0,680.0,2500.0,-1.0,9300.0,-1.0,-1.0,-1.0,2300.0,-1.0,-1.0,2530.0,-1.0,-1.0,-1.0,503.0,-1.0,210000.0,-1.0,-1.0,-1.0,10960.0,-1.0,-1.0,13200.0,-1.0,-1.0,-1.0,-1.0,-1.0,17300.0,-1.0,210000.0,-1.0,98000.0,-1.0,2900.0,4683.0,10000.0,-1.0,-1.0,23500.0,-1.0,29000.0,40300.0,65600.0,2740.0,-1.0,1343.0,27300.0,3892.0,27655.0,170290.0,21500.0,3000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1100.0,-1.0,924000.0,11821.0,-1.0,704.0,-1.0,1682.0,1000.0,-1.0,-1.0,111932.0,12000.0,-1.0,-1.0,506.0,-1.0,66667.0,-1.0,4000.0
1967,-1.0,-1.0,-1.0,-1.0,7000.0,2412.0,28818.0,-1.0,-1.0,-1.0,-1.0,26000.0,1700.0,300.0,19799.0,-1.0,-1.0,32832.0,-1.0,755.0,2500.0,-1.0,9300.0,-1.0,-1.0,-1.0,2300.0,-1.0,-1.0,3340.0,-1.0,-1.0,-1.0,420.0,-1.0,210000.0,-1.0,-1.0,-1.0,10850.0,-1.0,-1.0,13500.0,-1.0,-1.0,-1.0,-1.0,-1.0,18100.0,-1.0,210000.0,-1.0,96200.0,-1.0,2900.0,4878.0,10000.0,-1.0,-1.0,30600.0,-1.0,26000.0,41740.0,65200.0,3060.0,-1.0,1429.0,28600.0,4014.0,28983.0,166240.0,22000.0,3400.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1200.0,-1.0,1068000.0,11191.0,-1.0,775.0,-1.0,1783.0,1000.0,-1.0,-1.0,92244.0,12000.0,-1.0,-1.0,506.0,-1.0,71640.0,-1.0,4000.0
1968,-1.0,-1.0,-1.0,-1.0,7230.0,2522.0,28408.0,-1.0,-1.0,-1.0,-1.0,26000.0,1800.0,300.0,20202.0,-1.0,-1.0,32483.0,-1.0,850.0,2300.0,-1.0,3080.0,-1.0,-1.0,-1.0,2300.0,-1.0,-1.0,3634.0,-1.0,-1.0,-1.0,420.0,-1.0,280000.0,-1.0,-1.0,-1.0,11322.0,-1.0,-1.0,13600.0,-1.0,-1.0,-1.0,-1.0,-1.0,14470.0,-1.0,280000.0,-1.0,96800.0,-1.0,2900.0,6045.0,10000.0,-1.0,-1.0,39300.0,-1.0,27000.0,38300.0,63500.0,2990.0,-1.0,1543.0,30200.0,4075.0,30421.0,163450.0,22000.0,3600.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1200.0,-1.0,1124000.0,12000.0,-1.0,905.0,-1.0,857.0,1500.0,-1.0,-1.0,95224.0,15000.0,-1.0,-1.0,462.0,-1.0,60660.0,-1.0,4000.0
1969,-1.0,-1.0,-1.0,-1.0,7596.0,2770.0,28911.0,-1.0,-1.0,-1.0,-1.0,22200.0,1800.0,300.0,20798.0,-1.0,-1.0,33144.0,-1.0,850.0,2600.0,-1.0,3080.0,-1.0,-1.0,-1.0,2300.0,-1.0,-1.0,3861.0,-1.0,-1.0,-1.0,420.0,-1.0,250000.0,-1.0,-1.0,-1.0,14133.0,-1.0,-1.0,13800.0,-1.0,-1.0,-1.0,-1.0,-1.0,15250.0,-1.0,250000.0,-1.0,82300.0,-1.0,2900.0,6391.0,10000.0,-1.0,-1.0,48500.0,-1.0,32000.0,41550.0,61200.0,3040.0,-1.0,1650.0,32400.0,4233.0,30124.0,162840.0,22500.0,3844.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1250.0,-1.0,1166000.0,15321.0,-1.0,898.0,-1.0,410.0,1500.0,-1.0,-1.0,98335.0,15000.0,-1.0,-1.0,406.0,-1.0,61217.0,-1.0,4000.0
1970,-1.0,-1.0,-1.0,-1.0,7803.0,2880.0,29127.0,-1.0,-1.0,-1.0,-1.0,21000.0,1500.0,300.0,21033.0,-1.0,-1.0,33591.0,-1.0,870.0,2800.0,-1.0,3080.0,-1.0,-1.0,-1.0,2300.0,-1.0,-1.0,3014.0,-1.0,-1.0,-1.0,840.0,-1.0,250000.0,-1.0,-1.0,-1.0,13017.0,-1.0,-1.0,14000.0,-1.0,-1.0,-1.0,-1.0,-1.0,18040.0,-1.0,250000.0,-1.0,78000.0,-1.0,2900.0,6760.0,10000.0,-1.0,-1.0,66800.0,-1.0,33000.0,39600.0,59600.0,3060.0,-1.0,1714.0,43400.0,4464.0,30275.0,162880.0,23000.0,4168.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1250.0,-1.0,1625000.0,15662.0,-1.0,909.0,-1.0,400.0,1400.0,-1.0,-1.0,90000.0,15000.0,-1.0,-1.0,394.0,-1.0,63537.0,-1.0,4000.0
1971,-1.0,-1.0,-1.0,-1.0,8281.0,2918.0,29219.0,-1.0,-1.0,-1.0,-1.0,20400.0,2000.0,350.0,20160.0,-1.0,-1.0,33959.0,-1.0,870.0,3000.0,-1.0,4900.0,-1.0,-1.0,-1.0,2300.0,-1.0,-1.0,4155.0,-1.0,-1.0,-1.0,840.0,-1.0,260000.0,-1.0,-1.0,-1.0,12892.0,-1.0,-1.0,14000.0,-1.0,-1.0,-1.0,-1.0,-1.0,20380.0,-1.0,260000.0,-1.0,75800.0,-1.0,2900.0,6709.0,20000.0,-1.0,-1.0,84800.0,-1.0,33000.0,37349.0,59000.0,3060.0,-1.0,1739.0,49300.0,4740.0,29147.0,162760.0,23000.0,4520.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1300.0,-1.0,1589000.0,22140.0,-1.0,1910.0,-1.0,400.0,1000.0,-1.0,-1.0,87645.0,17000.0,-1.0,-1.0,437.0,-1.0,66823.0,-1.0,4500.0
1972,-1.0,-1.0,-1.0,-1.0,10422.0,3080.0,29138.0,-1.0,-1.0,-1.0,-1.0,21000.0,1700.0,350.0,20828.0,-1.0,-1.0,34051.0,-1.0,910.0,2500.0,-1.0,4950.0,-1.0,-1.0,-1.0,2300.0,-1.0,-1.0,4271.0,-1.0,-1.0,-1.0,840.0,-1.0,280000.0,-1.0,-1.0,-1.0,12776.0,-1.0,-1.0,9000.0,-1.0,-1.0,-1.0,-1.0,-1.0,24340.0,-1.0,280000.0,-1.0,77700.0,-1.0,2900.0,6757.0,20000.0,-1.0,-1.0,91600.0,-1.0,31000.0,37440.0,58200.0,3150.0,-1.0,1940.0,52900.0,4913.0,28773.0,163980.0,23000.0,5060.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1250.0,-1.0,1646000.0,29850.0,-1.0,2386.0,-1.0,470.0,700.0,-1.0,-1.0,82796.0,18000.0,-1.0,-1.0,889.0,-1.0,72000.0,-1.0,4500.0
