,Slovakia,Uzbekistan,Romania,Syrian Arab Republic,USSR,Norway,Australia,Czechia,Pakistan,Belgium,Turkey,Luxembourg,Guyana,Republic of Moldova,Italy,Serbia,Germany,South Africa,Tunisia,Slovenia,Albania,Netherlands,China,Serbia and Montenegro,Armenia,Australia & New Zealand,Morocco,Jordan,Chile,Montenegro,Argentina,Belgium-Luxembourg,Spain,Kyrgyzstan,India,Cyprus,Austria,Israel,Japan,Poland,Canada,Sweden,Belarus,Denmark,Switzerland,Estonia,The former Yugoslav Republic of Macedonia,Georgia,Greece,Czechoslovakia,Suriname,Bosnia and Herzegovina,France,New Zealand,Micronesia,Croatia,Hungary,Lebanon,Russian Federation,Portugal,Bolivia (Plurinational State of),Yugoslav SFR,Iran (Islamic Republic of),Kazakhstan,United States of America,Latvia,Ukraine,"China, mainland",Azerbaijan,Algeria,Guam,Peru,United Kingdom,Lithuania,Bulgaria,Mexico,Occupied Palestinian Territory
1961,,,-1.0,800.0,20000.0,-1.0,1303.0,,,,10857.0,,-1.0,,,,-1.0,160.0,-1.0,,-1.0,,-1.0,,,1356.0,-1.0,,1100.0,,-1.0,2000.0,2300.0,,1200.0,333.0,-1.0,,1280.0,-1.0,1360.0,-1.0,,-1.0,-1.0,,,,4800.0,-1.0,-1.0,,14461.0,53.0,,,-1.0,550.0,,2800.0,140.0,-1.0,6000.0,,15860.0,,,-1.0,,-1.0,,-1.0,4000.0,,2007.0,,-1.0
1962,,,-1.0,900.0,22000.0,-1.0,1303.0,,,,10920.0,,-1.0,,,,-1.0,160.0,-1.0,,-1.0,,-1.0,,,1363.0,-1.0,,1100.0,,-1.0,2000.0,2500.0,,1200.0,352.0,-1.0,,1410.0,-1.0,1880.0,-1.0,,-1.0,-1.0,,,,4800.0,-1.0,-1.0,,14730.0,60.0,,,-1.0,500.0,,2800.0,140.0,-1.0,6100.0,,16390.0,,,-1.0,,-1.0,,-1.0,4500.0,,2220.0,,-1.0
1963,,,-1.0,800.0,22000.0,-1.0,1402.0,,,,11090.0,,-1.0,,,,-1.0,140.0,-1.0,,-1.0,,-1.0,,,1482.0,-1.0,,1100.0,,-1.0,2000.0,3200.0,,1250.0,379.0,-1.0,,1500.0,-1.0,1760.0,-1.0,,-1.0,-1.0,,,,4800.0,-1.0,-1.0,,14704.0,80.0,,,-1.0,500.0,,2900.0,160.0,-1.0,6200.0,,17480.0,,,-1.0,,-1.0,,-1.0,4000.0,,2404.0,,-1.0
1964,,,-1.0,900.0,25000.0,-1.0,1435.0,,,,11333.0,,-1.0,,,,-1.0,160.0,-1.0,,-1.0,,-1.0,,,1499.0,-1.0,,1150.0,,-1.0,2000.0,3500.0,,1300.0,387.0,-1.0,,1580.0,-1.0,2500.0,-1.0,,-1.0,-1.0,,,,4800.0,-1.0,-1.0,,14177.0,64.0,,,-1.0,505.0,,2900.0,170.0,-1.0,6300.0,,18170.0,,,-1.0,,-1.0,,-1.0,4000.0,,2469.0,,-1.0
1965,,,-1.0,1000.0,24000.0,-1.0,1377.0,,,,11487.0,,-1.0,,,,-1.0,190.0,-1.0,,-1.0,,-1.0,,,1441.0,-1.0,,1100.0,,-1.0,2000.0,3500.0,,1350.0,400.0,-1.0,,1640.0,-1.0,1080.0,-1.0,,-1.0,-1.0,,,,4800.0,-1.0,-1.0,,14179.0,64.0,,,-1.0,460.0,,3000.0,180.0,-1.0,6200.0,,18490.0,,,-1.0,,-1.0,,-1.0,3000.0,,2856.0,,-1.0
1966,,,-1.0,1360.0,20000.0,-1.0,1476.0,,,,11460.0,,-1.0,,,,-1.0,150.0,-1.0,,-1.0,,-1.0,,,1537.0,-1.0,,1200.0,,-1.0,2000.0,3700.0,,1300.0,427.0,-1.0,,1700.0,-1.0,1840.0,-1.0,,-1.0,-1.0,,,,4800.0,-1.0,-1.0,,14733.0,61.0,,,-1.0,474.0,,2900.0,180.0,-1.0,6300.0,,19180.0,,,-1.0,,-1.0,,-1.0,1500.0,,3004.0,,-1.0
1967,,,-1.0,1500.0,20000.0,-1.0,1508.0,,,,11767.0,,-1.0,,,,-1.0,150.0,-1.0,,-1.0,,-1.0,,,1569.0,-1.0,,1250.0,,-1.0,2000.0,3900.0,,1300.0,453.0,-1.0,,1600.0,-1.0,2370.0,-1.0,,-1.0,-1.0,,,,4800.0,-1.0,-1.0,,12058.0,61.0,,,-1.0,1842.0,,2920.0,180.0,-1.0,6400.0,,20030.0,,,-1.0,,-1.0,,-1.0,800.0,,3140.0,,-1.0
1968,,,-1.0,1595.0,25000.0,-1.0,1454.0,,,,10417.0,,-1.0,,,,-1.0,150.0,-1.0,,-1.0,,-1.0,,,1520.0,-1.0,,1200.0,,-1.0,2000.0,4700.0,,1350.0,493.0,-1.0,,1600.0,-1.0,1540.0,-1.0,,-1.0,-1.0,,,,4800.0,-1.0,-1.0,,12793.0,66.0,,,-1.0,1853.0,,2920.0,180.0,-1.0,6500.0,,20720.0,,,-1.0,,-1.0,,-1.0,800.0,,3302.0,,-1.0
1969,,,-1.0,1794.0,25000.0,-1.0,1442.0,,,,10880.0,,-1.0,,31800.0,,-1.0,200.0,-1.0,,-1.0,,-1.0,,,1511.0,-1.0,,1200.0,,-1.0,2000.0,5000.0,,1400.0,495.0,-1.0,,1660.0,-1.0,1490.0,-1.0,,-1.0,-1.0,,,,4500.0,-1.0,-1.0,,14490.0,69.0,,,-1.0,2001.0,,2910.0,180.0,-1.0,6600.0,,21290.0,,,-1.0,,-1.0,,-1.0,1000.0,,3423.0,,-1.0
1970,,,-1.0,1640.0,34000.0,-1.0,1500.0,,,,11287.0,,-1.0,,31500.0,,-1.0,150.0,-1.0,,-1.0,,-1.0,,,1573.0,-1.0,,1200.0,,-1.0,2000.0,6600.0,,1400.0,533.0,-1.0,,1720.0,-1.0,1700.0,-1.0,,-1.0,-1.0,,,,4500.0,-1.0,-1.0,,14500.0,73.0,,,-1.0,2027.0,,2930.0,180.0,-1.0,6700.0,,21210.0,,,-1.0,,-1.0,,183.0,3100.0,,3659.0,,-1.0
