,USSR,Burkina Faso,France,Bahrain,Fiji,Australia,Panama,Pakistan,French Guiana,Thailand,Belize,Ethiopia,Kenya,Guyana,Yemen,South Africa,United Arab Emirates,Lao People's Democratic Republic,Zambia,Nigeria,Botswana,Peru,Suriname,Tunisia,Albania,Niue,Brazil,Mozambique,Australia & New Zealand,El Salvador,Montenegro,Argentina,Colombia,New Caledonia,Central African Republic,Bahamas,Honduras,Jamaica,Ecuador,Swaziland,Indonesia,Seychelles,Turkey,Jordan,Angola,Ethiopia PDR,Egypt,Melanesia,Togo,Malaysia,Greece,Tajikistan,Haiti,Republic of Korea,Democratic Republic of the Congo,New Zealand,Sudan,Mali,Congo,Martinique,Dominican Republic,Kyrgyzstan,Tonga,Yugoslav SFR,Iran (Islamic Republic of),Kazakhstan,Ghana,Philippines,Spain,"China, mainland",French Polynesia,Cyprus,Sri Lanka,Guinea-Bissau,Rwanda,Bosnia and Herzegovina,Portugal,Guatemala,South Sudan,Cuba,Puerto Rico,United States of America,Bhutan,Micronesia (Federated States of),Dominica,Iraq,Madagascar,India,Timor-Leste,Senegal,United Republic of Tanzania,Paraguay,Samoa,Nepal,Cook Islands,Libya,Costa Rica,Bangladesh,Italy,Qatar,Saint Lucia,Mauritius,Syrian Arab Republic,Benin,Montserrat,Uzbekistan,China,Cambodia,Serbia and Montenegro,Sudan (former),Morocco,Antigua and Barbuda,Chile,Malta,Uruguay,Zimbabwe,Lebanon,Gabon,Malawi,Algeria,"China, Taiwan Province of",Israel,Réunion,Japan,Maldives,Afghanistan,Trinidad and Tobago,Somalia,Namibia,Saudi Arabia,Georgia,Azerbaijan,Nicaragua,Oman,Viet Nam,Russian Federation,Micronesia,Bolivia (Plurinational State of),Grenada,Saint Vincent and the Grenadines,Venezuela (Bolivarian Republic of),Brunei Darussalam,Mexico,Guinea,Kuwait,Guadeloupe,Ireland,Côte d'Ivoire,Polynesia,Croatia,Occupied Palestinian Territory,Liberia,Sierra Leone
1961,7200.0,,670.0,38.0,10.0,19323.0,0.0,333000.0,,43000.0,2481.0,,2420.0,1500.0,,28900.0,120.0,3450.0,300.0,300000.0,200.0,13170.0,1429.0,0.0,0.0,4.0,143109.0,4900.0,19823.0,3900.0,,0.0,5000.0,0.0,0.0,0.0,3382.0,7270.0,9500.0,4000.0,20000.0,0.0,28604.0,1950.0,14000.0,2300.0,27000.0,10.0,0.0,3440.0,29850.0,,0.0,254.0,8200.0,500.0,,10000.0,750.0,70.0,0.0,,950.0,0.0,16500.0,,7000.0,18350.0,108945.0,71400.0,39.0,5150.0,8827.0,,0.0,,18500.0,6000.0,,0.0,0.0,326980.0,3950.0,,0.0,0.0,2450.0,93300.0,0.0,1000.0,6000.0,0.0,160.0,0.0,455.0,1650.0,4900.0,3600.0,100900.0,,0.0,0.0,900.0,1410.0,,,80511.0,0.0,,8000.0,0.0,0.0,7800.0,0.0,0.0,7000.0,8480.0,120.0,140.0,53200.0,9111.0,26500.0,0.0,88630.0,0.0,2160.0,6350.0,1950.0,0.0,1000.0,,,5600.0,3000.0,7850.0,,,8600.0,0.0,0.0,20275.0,83.0,97775.0,25000.0,1.0,0.0,,1165.0,1608.0,,0.0,1800.0,0.0
1962,7200.0,,875.0,38.0,25.0,19323.0,0.0,399000.0,,43000.0,1980.0,,2420.0,1500.0,,29800.0,120.0,3520.0,850.0,300000.0,200.0,13800.0,1571.0,0.0,0.0,4.0,151894.0,4900.0,19869.0,4100.0,,0.0,5100.0,0.0,0.0,0.0,3633.0,10145.0,9675.0,4000.0,20000.0,0.0,29138.0,2000.0,14000.0,2600.0,32000.0,25.0,0.0,3590.0,30950.0,,0.0,110.0,8300.0,546.0,,3500.0,750.0,70.0,0.0,,1000.0,0.0,18000.0,,7000.0,23820.0,113665.0,76450.0,40.0,4360.0,7918.0,,0.0,,19170.0,6400.0,,0.0,0.0,340490.0,4050.0,,0.0,0.0,2450.0,105000.0,0.0,1000.0,6000.0,0.0,160.0,0.0,455.0,1780.0,5000.0,5000.0,104200.0,,0.0,0.0,900.0,1500.0,,,86739.0,0.0,,8200.0,0.0,0.0,7900.0,0.0,0.0,7250.0,8500.0,120.0,140.0,57150.0,10289.0,27100.0,0.0,98960.0,0.0,2160.0,6350.0,1950.0,0.0,1050.0,,,6000.0,3000.0,8650.0,,,9100.0,0.0,0.0,21085.0,83.0,106498.0,27000.0,1.0,0.0,,1165.0,1659.0,,0.0,1800.0,0.0
1963,7400.0,,855.0,38.0,40.0,19924.0,0.0,448000.0,,43000.0,2248.0,,2420.0,1500.0,,30000.0,125.0,3620.0,600.0,300000.0,200.0,14460.0,1740.0,0.0,0.0,5.0,166069.0,6200.0,20494.0,4200.0,,0.0,5200.0,0.0,0.0,0.0,3688.0,10750.0,9526.0,4500.0,25000.0,0.0,34889.0,2350.0,14000.0,2600.0,35000.0,40.0,0.0,3570.0,32550.0,,0.0,127.0,8500.0,570.0,,3500.0,750.0,75.0,0.0,,1000.0,0.0,18900.0,,7000.0,23894.0,121575.0,75400.0,40.0,5810.0,12402.0,,0.0,,18370.0,6900.0,,0.0,0.0,313750.0,4200.0,,0.0,0.0,2450.0,106000.0,0.0,1000.0,6000.0,0.0,160.0,0.0,465.0,1700.0,5300.0,5600.0,109600.0,,0.0,0.0,900.0,1500.0,,,86704.0,0.0,,8500.0,0.0,0.0,7700.0,0.0,0.0,7550.0,9000.0,120.0,160.0,59030.0,11304.0,37600.0,0.0,110460.0,0.0,2160.0,6350.0,2060.0,0.0,1100.0,,,6400.0,3000.0,8850.0,,,9300.0,0.0,0.0,21928.0,95.0,107296.0,29000.0,1.0,0.0,,1165.0,1670.0,,0.0,1800.0,0.0
1964,6800.0,,1165.0,38.0,8.0,20483.0,0.0,405000.0,,43000.0,2665.0,,2520.0,1900.0,,29800.0,127.0,3400.0,600.0,300000.0,190.0,15200.0,1414.0,0.0,0.0,6.0,172185.0,6400.0,21103.0,4300.0,,0.0,5300.0,0.0,0.0,0.0,3960.0,10990.0,10341.0,4700.0,25000.0,0.0,38401.0,2350.0,14000.0,2950.0,40000.0,8.0,0.0,4300.0,34750.0,,0.0,407.0,9100.0,620.0,,3500.0,750.0,80.0,0.0,,1100.0,0.0,20650.0,,6500.0,23519.0,109605.0,90500.0,41.0,5510.0,10687.0,,0.0,,19470.0,7700.0,,0.0,0.0,315930.0,4300.0,,0.0,0.0,2450.0,108000.0,0.0,1000.0,6000.0,0.0,160.0,0.0,474.0,1000.0,5500.0,6500.0,117700.0,,0.0,0.0,900.0,1500.0,,,103948.0,0.0,,8700.0,0.0,0.0,8000.0,0.0,0.0,7700.0,10115.0,120.0,160.0,66580.0,13448.0,38600.0,0.0,123470.0,0.0,2290.0,6450.0,2060.0,0.0,1150.0,,,6700.0,3000.0,9050.0,,,9500.0,0.0,0.0,22805.0,95.0,110259.0,30000.0,1.0,0.0,,1165.0,1781.0,,0.0,1800.0,0.0
1965,7000.0,,1223.0,39.0,18.0,21002.0,0.0,416000.0,,44000.0,3304.0,,2520.0,2033.0,,30000.0,130.0,3700.0,600.0,300000.0,220.0,15820.0,2086.0,0.0,0.0,7.0,181173.0,6200.0,21673.0,4400.0,,0.0,5400.0,0.0,0.0,0.0,4037.0,11120.0,12812.0,5200.0,25000.0,0.0,38259.0,2350.0,14000.0,3150.0,43512.0,18.0,0.0,4540.0,35950.0,,0.0,571.0,9700.0,671.0,,3600.0,750.0,80.0,0.0,,1200.0,0.0,22600.0,,9500.0,23200.0,115812.0,95050.0,42.0,6350.0,10712.0,,0.0,,20070.0,7200.0,,0.0,0.0,335850.0,4400.0,,0.0,0.0,2450.0,113000.0,0.0,1000.0,7000.0,0.0,160.0,0.0,485.0,1010.0,5900.0,6000.0,120831.0,,0.0,0.0,1100.0,2000.0,,,109824.0,0.0,,9000.0,0.0,0.0,8100.0,0.0,0.0,7900.0,12200.0,120.0,180.0,60060.0,14774.0,39600.0,0.0,138970.0,0.0,2410.0,6550.0,2060.0,0.0,1200.0,,,7100.0,3000.0,9350.0,,,9900.0,0.0,0.0,23717.0,95.0,122673.0,31500.0,1.0,0.0,,1800.0,1894.0,,0.0,1800.0,0.0
1966,7000.0,,1565.0,42.0,10.0,21508.0,0.0,50400.0,,49850.0,3507.0,,2520.0,2133.0,,30200.0,135.0,3750.0,600.0,300000.0,220.0,17911.0,2755.0,0.0,0.0,0.0,196999.0,6200.0,22198.0,4500.0,,0.0,5400.0,0.0,0.0,0.0,4079.0,11430.0,14056.0,5100.0,25000.0,0.0,39441.0,2375.0,14000.0,3250.0,49518.0,10.0,0.0,4570.0,37550.0,,0.0,727.0,9000.0,690.0,,3600.0,800.0,80.0,0.0,,1200.0,0.0,30700.0,,9700.0,22962.0,123632.0,99900.0,43.0,6960.0,8554.0,,0.0,,20220.0,8900.0,,0.0,0.0,356475.0,4600.0,,0.0,0.0,2200.0,124000.0,0.0,1000.0,10000.0,0.0,160.0,0.0,489.0,1000.0,6200.0,4000.0,126153.0,,0.0,0.0,1919.0,2000.0,,,115944.0,0.0,,9100.0,0.0,0.0,8300.0,0.0,0.0,8000.0,12300.0,120.0,200.0,58050.0,16044.0,42900.0,0.0,152500.0,0.0,2660.0,6600.0,2060.0,0.0,1250.0,,,7400.0,3000.0,10300.0,,,10300.0,0.0,0.0,24666.0,95.0,133617.0,32000.0,2.0,0.0,,1800.0,1892.0,,0.0,1800.0,0.0
1967,7000.0,,825.0,43.0,20.0,21661.0,0.0,49200.0,,49850.0,3507.0,,3020.0,2104.0,,31700.0,140.0,3950.0,600.0,300000.0,220.0,18656.0,2589.0,0.0,0.0,0.0,200333.0,6200.0,22430.0,4600.0,,0.0,5400.0,0.0,0.0,0.0,4148.0,11650.0,13849.0,7600.0,25000.0,0.0,39454.0,2762.0,14000.0,3500.0,54758.0,20.0,0.0,4850.0,38850.0,,0.0,1341.0,8800.0,769.0,,3700.0,800.0,90.0,0.0,,1200.0,0.0,39800.0,,13400.0,23430.0,128357.0,105050.0,44.0,8960.0,8814.0,,0.0,,20150.0,9400.0,,0.0,0.0,387844.0,4650.0,,0.0,0.0,2200.0,131000.0,0.0,1000.0,15000.0,0.0,160.0,0.0,489.0,1312.0,6400.0,4000.0,131375.0,,0.0,0.0,1896.0,2100.0,,,122787.0,0.0,,9400.0,0.0,0.0,8700.0,0.0,0.0,8200.0,11029.0,120.0,200.0,58000.0,17737.0,42200.0,0.0,161630.0,0.0,2970.0,6600.0,2160.0,0.0,1290.0,,,7700.0,3000.0,11750.0,,,10600.0,0.0,0.0,25653.0,95.0,173604.0,32300.0,2.0,0.0,,2000.0,1893.0,,0.0,1800.0,0.0
1968,7000.0,,887.0,46.0,25.0,22339.0,0.0,49300.0,,49850.0,3608.0,,3020.0,2182.0,,31500.0,150.0,3780.0,650.0,300000.0,220.0,20999.0,2318.0,0.0,0.0,0.0,207945.0,6200.0,23060.0,4800.0,,0.0,5500.0,0.0,0.0,0.0,3835.0,12050.0,15546.0,9000.0,25000.0,0.0,37700.0,2228.0,14000.0,3600.0,58944.0,25.0,0.0,4780.0,41050.0,,0.0,2275.0,9000.0,721.0,,3700.0,800.0,90.0,0.0,,1200.0,0.0,48900.0,,13800.0,22774.0,131687.0,105400.0,45.0,10860.0,8678.0,,0.0,,18250.0,9400.0,,0.0,0.0,408280.0,4800.0,,0.0,0.0,5800.0,147300.0,0.0,1000.0,17000.0,0.0,160.0,0.0,489.0,1965.0,6900.0,4000.0,139868.0,,0.0,0.0,2240.0,2100.0,,,124553.0,0.0,,9650.0,0.0,0.0,9200.0,0.0,0.0,8400.0,11261.0,120.0,220.0,60100.0,19153.0,42200.0,0.0,174580.0,0.0,2910.0,6600.0,2170.0,0.0,1310.0,,,8000.0,3000.0,12750.0,,,10900.0,0.0,0.0,26679.0,95.0,177527.0,32600.0,2.0,0.0,,2000.0,1894.0,,0.0,1800.0,0.0
1969,7000.0,,1163.0,50.0,10.0,23754.0,0.0,41900.0,,49850.0,3647.0,,3020.0,2270.0,,32000.0,160.0,4000.0,650.0,300000.0,70.0,25039.0,2430.0,0.0,0.0,0.0,218977.0,6400.0,24759.0,5600.0,,0.0,5600.0,0.0,0.0,0.0,3974.0,10210.0,15596.0,10200.0,25000.0,0.0,38424.0,2126.0,14000.0,3700.0,59364.0,10.0,0.0,5220.0,41650.0,,0.0,4017.0,9200.0,1005.0,,3700.0,800.0,110.0,0.0,,1200.0,0.0,52700.0,,13700.0,18125.0,142696.0,104600.0,46.0,10650.0,8526.0,,0.0,,18920.0,8700.0,,0.0,0.0,432270.0,4900.0,,0.0,0.0,7800.0,140300.0,0.0,1000.0,25000.0,0.0,160.0,0.0,489.0,1800.0,7100.0,4402.0,142846.0,,0.0,0.0,2149.0,2200.0,,,124987.0,0.0,,9800.0,0.0,0.0,9400.0,0.0,0.0,8690.0,11334.0,120.0,230.0,68240.0,20387.0,42200.0,0.0,183090.0,0.0,2950.0,6500.0,2170.0,0.0,1320.0,,,8500.0,3500.0,13250.0,,,9000.0,0.0,0.0,27746.0,96.0,180527.0,33000.0,2.0,0.0,,3250.0,1895.0,,0.0,1800.0,0.0
1970,7800.0,,1075.0,55.0,20.0,23793.0,0.0,43500.0,365.0,50850.0,3671.0,,3520.0,2512.0,,32700.0,180.0,4400.0,600.0,450000.0,70.0,26331.0,2173.0,0.0,0.0,0.0,239763.0,7500.0,24901.0,6100.0,,0.0,5700.0,0.0,0.0,0.0,4176.0,9650.0,16027.0,11100.0,29000.0,0.0,39488.0,1880.0,14000.0,3900.0,62705.0,20.0,0.0,6790.0,42350.0,,0.0,5901.0,9300.0,1108.0,,3800.0,850.0,110.0,0.0,,1200.0,0.0,56700.0,,23000.0,16941.0,153770.0,109550.0,48.0,10870.0,7869.0,,0.0,,19690.0,8600.0,,0.0,0.0,457410.0,5000.0,,0.0,0.0,7800.0,150300.0,0.0,1000.0,41000.0,0.0,160.0,0.0,489.0,1640.0,7400.0,4677.0,145615.0,,0.0,0.0,2423.0,2200.0,,,131412.0,0.0,,9900.0,0.0,0.0,9900.0,0.0,0.0,9040.0,12299.0,120.0,240.0,71100.0,21862.0,39600.0,0.0,187890.0,0.0,2970.0,6700.0,2170.0,0.0,1330.0,,,9000.0,3500.0,13750.0,,,10300.0,0.0,0.0,28856.0,106.0,193720.0,33300.0,3.0,0.0,,3650.0,1897.0,,0.0,1800.0,0.0
