,Sudan,Israel,Kenya,Niger,Chad,Morocco,Cameroon,Saudi Arabia,Qatar,Mexico,Sudan (former),South Sudan,Jordan,Mauritania,Benin,Somalia,China,Pakistan,Colombia,Tunisia,Libya,Albania,Iraq,Yemen,Peru,Occupied Palestinian Territory,Spain,Bahrain,Syrian Arab Republic,United States of America,Iran (Islamic Republic of),Egypt,Djibouti,Algeria,Kuwait,"China, mainland",Oman,Mali,United Arab Emirates,Namibia,Swaziland,Turkey
1961,-1.0,600.0,500.0,3000.0,25000.0,86000.0,-1.0,160000.0,-1.0,6115.0,53000.0,-1,503.0,13000.0,500.0,4700.0,4000.0,73600.0,-1.0,36300.0,29100.0,-1.0,350000.0,38100.0,600.0,-1.0,12000.0,15000.0,-1.0,19414.0,300000.0,479000.0,-1.0,95000.0,360.0,4000.0,40000.0,-1,6000.0,-1.0,-1.0,1200.0
1962,-1.0,700.0,600.0,3000.0,25000.0,56000.0,-1.0,165000.0,-1.0,6905.0,55000.0,-1,582.0,12000.0,500.0,4800.0,4000.0,63300.0,-1.0,14800.0,30000.0,-1.0,420000.0,38300.0,600.0,-1.0,12000.0,15000.0,-1.0,21954.0,310000.0,401000.0,-1.0,100000.0,350.0,4000.0,40000.0,-1,6500.0,-1.0,-1.0,1200.0
1963,-1.0,900.0,600.0,5000.0,20000.0,80000.0,-1.0,170000.0,-1.0,5938.0,58000.0,-1,613.0,18000.0,500.0,4900.0,4200.0,52700.0,-1.0,30000.0,33000.0,-1.0,320000.0,40995.0,700.0,-1.0,12000.0,15000.0,-1.0,20049.0,328000.0,440253.0,-1.0,130000.0,360.0,4200.0,40000.0,-1,7000.0,-1.0,-1.0,1200.0
1964,-1.0,1100.0,600.0,5000.0,18000.0,85000.0,-1.0,175000.0,-1.0,6560.0,60000.0,-1,591.0,20000.0,550.0,5000.0,4500.0,133600.0,-1.0,42000.0,30000.0,-1.0,310000.0,41195.0,700.0,-1.0,15000.0,15000.0,-1.0,22045.0,285000.0,327259.0,-1.0,177167.0,350.0,4500.0,40000.0,-1,7500.0,-1.0,-1.0,1300.0
1965,-1.0,1100.0,600.0,5000.0,18000.0,86000.0,-1.0,180000.0,-1.0,6991.0,63000.0,-1,618.0,22000.0,550.0,5100.0,4800.0,158900.0,-1.0,54000.0,56082.0,-1.0,280000.0,41395.0,800.0,-1.0,17000.0,15000.0,-1.0,19050.0,300000.0,385717.0,-1.0,109824.0,370.0,4800.0,40000.0,-1,7500.0,-1.0,-1.0,1300.0
1966,-1.0,1550.0,600.0,5000.0,20000.0,90000.0,-1.0,188330.0,-1.0,7252.0,65000.0,-1,618.0,15000.0,600.0,5200.0,5000.0,141600.0,-1.0,42300.0,55783.0,-1.0,380000.0,44640.0,808.0,-1.0,15728.0,15000.0,-1.0,19323.0,290000.0,317183.0,-1.0,115112.0,350.0,5000.0,40000.0,-1,7600.0,-1.0,-1.0,1400.0
1967,-1.0,1800.0,600.0,5000.0,20000.0,90000.0,-1.0,188330.0,-1.0,7213.0,68000.0,-1,104.0,13000.0,700.0,5300.0,5000.0,145800.0,-1.0,39300.0,54743.0,-1.0,330000.0,36700.0,803.0,-1.0,14943.0,15000.0,-1.0,18870.0,281000.0,318910.0,-1.0,155689.0,360.0,5000.0,40000.0,-1,7500.0,-1.0,-1.0,1400.0
1968,-1.0,1900.0,700.0,5000.0,22000.0,90000.0,-1.0,200000.0,-1.0,7390.0,70000.0,-1,65.0,14000.0,700.0,5300.0,5000.0,150800.0,-1.0,59500.0,56728.0,-1.0,260000.0,34400.0,363.0,-1.0,16204.0,15000.0,-1.0,20865.0,280000.0,309000.0,-1.0,147680.0,350.0,5000.0,40000.0,-1,7200.0,-1.0,-1.0,1400.0
1969,-1.0,2100.0,700.0,5000.0,22000.0,90000.0,-1.0,220000.0,-1.0,515.0,80000.0,-1,50.0,12500.0,800.0,5400.0,5000.0,142800.0,-1.0,18500.0,55125.0,-1.0,480000.0,32600.0,448.0,-1.0,15838.0,15000.0,-1.0,14968.0,290000.0,401000.0,-1.0,161425.0,350.0,5000.0,45000.0,-1,7600.0,-1.0,-1.0,1350.0
1970,-1.0,2300.0,700.0,5000.0,22000.0,90000.0,-1.0,240000.0,-1.0,1299.0,90000.0,-1,50.0,15000.0,800.0,5400.0,5000.0,157300.0,-1.0,39000.0,49111.0,-1.0,300000.0,29000.0,418.0,-1.0,14876.0,15000.0,-1.0,16511.0,310000.0,339000.0,-1.0,79265.0,300.0,5000.0,45000.0,-1,8000.0,-1.0,-1.0,1400.0
