,Austria,"China, Taiwan Province of",Japan,Poland,USSR,Belarus,Denmark,Republic of Korea,Egypt,Belgium,Greece,Czechoslovakia,France,Czechia,Australia,Romania,Italy,Lithuania,Hungary,Germany,Russian Federation,Portugal,Yugoslav SFR,Sweden,Estonia,China,Slovakia,Latvia,Australia & New Zealand,"China, mainland",Chile,Argentina,Belgium-Luxembourg,United Kingdom,Spain,Croatia,Bulgaria,Netherlands,Ukraine,New Zealand
1961,7727.0,4867.0,5496.0,4865.0,2455.0,,10000.0,1375.0,7975.0,,3809.0,5215.0,10677.0,,8750.0,3395.0,687.0,,7699.0,3319.0,,9557.0,4886.0,11062.0,,11007.0,,,9239.0,11429.0,5000.0,4995.0,12042.0,,7011.0,,4058.0,12599.0,,9624.0
1962,7761.0,4513.0,5700.0,4962.0,2546.0,,10000.0,979.0,7907.0,,1730.0,5042.0,9697.0,,11284.0,5064.0,555.0,,6752.0,3627.0,,8095.0,4144.0,11451.0,,13088.0,,,10064.0,13750.0,5000.0,5916.0,11574.0,,7503.0,,2425.0,12650.0,,7643.0
1963,,4882.0,5419.0,4397.0,2594.0,,10000.0,980.0,7868.0,,1745.0,5719.0,9701.0,,9710.0,4349.0,548.0,,7544.0,3393.0,,7815.0,4286.0,9158.0,,12946.0,,,10000.0,13750.0,5000.0,6432.0,11665.0,,7865.0,,2970.0,12707.0,,10099.0
1964,,5052.0,5546.0,3680.0,2205.0,,10000.0,1281.0,7984.0,,14396.0,5663.0,10904.0,,9898.0,4050.0,452.0,,7175.0,3382.0,,7786.0,4655.0,10156.0,,14597.0,,,9722.0,15556.0,5000.0,6465.0,11845.0,,8155.0,,4308.0,12872.0,,9471.0
1965,,4533.0,6418.0,4978.0,3252.0,,10000.0,1351.0,7486.0,,5789.0,5665.0,9847.0,,,5665.0,344.0,,7438.0,4260.0,,8362.0,3626.0,9623.0,,14350.0,,,16783.0,15556.0,5000.0,5440.0,11561.0,,6280.0,,3357.0,12276.0,,16783.0
1966,,4487.0,4997.0,5232.0,3286.0,,10000.0,1995.0,7499.0,,5414.0,5566.0,10707.0,,,6374.0,329.0,,8495.0,4121.0,,7828.0,4255.0,,,14008.0,,,11389.0,15000.0,5000.0,5590.0,10999.0,,6236.0,,5376.0,11060.0,,11389.0
1967,,4442.0,6625.0,5783.0,3527.0,,10000.0,3333.0,7501.0,,6100.0,6087.0,11961.0,,,5120.0,325.0,,7786.0,4656.0,,8882.0,3894.0,,,15185.0,,,10000.0,16250.0,5000.0,5708.0,12279.0,,7338.0,,5608.0,13437.0,,10000.0
1968,,4765.0,6420.0,5317.0,3013.0,,10000.0,4795.0,7684.0,,4583.0,5674.0,16343.0,,,3254.0,665.0,,4984.0,5460.0,,9055.0,3541.0,,,14577.0,,,8667.0,15556.0,5000.0,6000.0,12063.0,,8365.0,,2447.0,12570.0,,8667.0
1969,,4856.0,6000.0,5321.0,3720.0,,10000.0,3944.0,7325.0,,8000.0,6825.0,13418.0,,,4179.0,554.0,,8968.0,5558.0,,9427.0,4284.0,,,15907.0,,,10150.0,16744.0,5000.0,6810.0,11703.0,,9000.0,,2774.0,12341.0,,10150.0
1970,,4733.0,5714.0,5300.0,3551.0,,7197.0,3295.0,8649.0,,5600.0,5530.0,10161.0,,,4498.0,331.0,,7586.0,5361.0,,9160.0,4788.0,,,15892.0,,,10150.0,16667.0,8824.0,6222.0,9450.0,,9438.0,,4528.0,10191.0,,10150.0
