,USSR,Burkina Faso,Australia & New Zealand,Australia,Panama,Pakistan,French Guiana,Thailand,Belize,Ethiopia,Kenya,Guyana,Romania,Democratic People's Republic of Korea,Lao People's Democratic Republic,Zambia,Suriname,Togo,Albania,Brazil,Paraguay,Serbia,Slovenia,El Salvador,Canada,Colombia,Spain,India,Ecuador,Indonesia,Poland,Argentina,Turkey,Jordan,Angola,Ethiopia PDR,Egypt,The former Yugoslav Republic of Macedonia,Malaysia,Greece,Czechoslovakia,Slovakia,France,Republic of Korea,Democratic Republic of the Congo,Nigeria,Mali,Hungary,Republic of Moldova,Syrian Arab Republic,Mexico,Yugoslav SFR,Iran (Islamic Republic of),Kazakhstan,United States of America,"China, mainland",New Zealand,Peru,Rwanda,Bosnia and Herzegovina,Cameroon,Guatemala,Austria,Bhutan,Philippines,Iraq,Madagascar,Timor-Leste,United Republic of Tanzania,Burundi,Nepal,Czechia,Costa Rica,Bangladesh,Italy,Senegal,Germany,Uganda,Benin,China,Cambodia,Serbia and Montenegro,Morocco,Switzerland,Chile,Honduras,Uruguay,Zimbabwe,Kyrgyzstan,Gabon,Malawi,"China, Taiwan Province of",Japan,Georgia,Azerbaijan,Nicaragua,Viet Nam,Russian Federation,Bolivia (Plurinational State of),Venezuela (Bolivarian Republic of),Latvia,South Africa,Tajikistan,Sri Lanka,Côte d'Ivoire,Croatia,Bulgaria,Myanmar,Ukraine,Liberia
1961,4900.0,,6667.0,6667.0,,4500.0,,10577.0,,,,,4600.0,5667.0,10101.0,,8000.0,,,11269.0,16154.0,,,,21033.0,14815.0,,4545.0,12500.0,6821.0,,9765.0,9783.0,,,14286.0,,,3958.0,,,,,5683.0,5900.0,3497.0,,3116.0,,,19850.0,7688.0,10000.0,,16900.0,6243.0,,10000.0,5000.0,,,,,,9409.0,,,7143.0,2600.0,10000.0,5000.0,,,,19167.0,,,3745.0,,6260.0,6554.0,,,,10000.0,,10000.0,6370.0,,,,9046.0,13472.0,,,,4159.0,,,,,5262.0,,7500.0,,,5296.0,3320.0,,3333.0
1962,5758.0,,7738.0,7738.0,,4500.0,,11029.0,,,,,3604.0,5645.0,9615.0,,7722.0,,,11005.0,16111.0,,,,20106.0,13415.0,,4545.0,12308.0,6680.0,,11628.0,8696.0,,,16216.0,,,4000.0,,,,,5421.0,6610.0,3651.0,,6705.0,,,20757.0,10394.0,10000.0,,16302.0,6857.0,,10000.0,5000.0,,,,,,9111.0,,,7143.0,2750.0,10000.0,5000.0,,,,17824.0,,,4167.0,,6873.0,6417.0,,,,10000.0,,10000.0,6648.0,,,,9738.0,12629.0,,,,4063.0,,,,,5262.0,,7500.0,,,4349.0,7532.0,,3333.0
1963,5000.0,,5978.0,5978.0,,4500.0,,10313.0,,,,,3360.0,5625.0,9692.0,,6719.0,,,9503.0,18371.0,,,,14754.0,16216.0,,4444.0,12143.0,6497.0,,9802.0,8810.0,,,17500.0,,,4000.0,,,,,5528.0,7100.0,3684.0,,8370.0,,,20513.0,13035.0,10000.0,,16432.0,7180.0,,10000.0,5000.0,,,,,,9141.0,,,7143.0,2667.0,10000.0,5000.0,,,,18214.0,,,8000.0,,7194.0,8071.0,,,,10000.0,,10000.0,4723.0,,,,9533.0,13540.0,,,,4000.0,,,,,4718.0,,7500.0,,,4878.0,7255.0,,3333.0
1964,3202.0,,4471.0,4471.0,,4545.0,,9184.0,,,,,5094.0,5758.0,9697.0,,14141.0,,,8478.0,30557.0,,,,20310.0,16129.0,,4444.0,12000.0,6860.0,,11457.0,8333.0,,,18605.0,,,4000.0,,,,,5792.0,7333.0,3278.0,,5931.0,,,19657.0,16713.0,10000.0,,15309.0,7871.0,,10000.0,,,,,,,8464.0,,,7143.0,2429.0,10000.0,5000.0,,,,18333.0,,,4000.0,,7888.0,6667.0,,,,10000.0,,10000.0,4067.0,,,,11304.0,11059.0,,,,4375.0,,,,,4286.0,,7500.0,,,6850.0,6234.0,,3333.0
1965,4936.0,,6053.0,6053.0,,4583.0,,10380.0,,,,,4821.0,5882.0,9697.0,,11379.0,,,12115.0,19248.0,,,,20379.0,16835.0,,4348.0,12500.0,7012.0,,10352.0,8333.0,,,17778.0,,,4054.0,,,,,5615.0,6667.0,3043.0,,6426.0,,,21087.0,12015.0,10000.0,,16508.0,7153.0,,14557.0,,,,,,,7701.0,,,7143.0,2400.0,10000.0,5000.0,,,,18077.0,,,4167.0,,7185.0,6711.0,,,,10000.0,,10000.0,4588.0,,,,12357.0,12473.0,,,,4355.0,,,,,4286.0,,7500.0,,,7200.0,5981.0,,3333.0
1966,6854.0,,3858.0,3858.0,,4583.0,,8582.0,,,,,11314.0,7985.0,9706.0,,14516.0,,,12125.0,15095.0,,,,21723.0,14857.0,,4348.0,13125.0,6891.0,,11600.0,7833.0,,,20000.0,,,4167.0,,,,,5846.0,6867.0,3243.0,,10252.0,,,17486.0,17062.0,10000.0,,17087.0,9825.0,,15912.0,,,,,,,7713.0,,,7143.0,2606.0,10000.0,5000.0,,,,19455.0,,,9524.0,,9841.0,9012.0,,,,10000.0,,10000.0,17700.0,,,,12327.0,11798.0,,,,4225.0,,,,,4000.0,,7500.0,,,22903.0,6107.0,,3333.0
1967,6388.0,,6635.0,6635.0,,4643.0,,9041.0,,,,,8432.0,8459.0,9855.0,,14186.0,,,11691.0,14316.0,,,,18764.0,16667.0,,4444.0,14000.0,7061.0,,11857.0,9167.0,,,20000.0,,,5319.0,,,,,6488.0,7210.0,3614.0,,6582.0,,,18749.0,13175.0,10000.0,,16498.0,9736.0,,17197.0,,,,,,,8108.0,,,7143.0,2540.0,10000.0,5000.0,,,,20455.0,,,10000.0,,9765.0,8602.0,,,,10000.0,,10000.0,16700.0,,,,14383.0,13460.0,,,,4474.0,,9585.0,,,3982.0,,8333.0,,,6935.0,6055.0,,3143.0
1968,6183.0,,5479.0,5479.0,,4688.0,,9722.0,,,,,9652.0,8889.0,9722.0,,14298.0,,,9066.0,33938.0,,,,20579.0,20000.0,,4444.0,13875.0,6203.0,,10891.0,11333.0,,,20833.0,,,5000.0,,,,,7823.0,6897.0,3514.0,,7120.0,,,20692.0,6484.0,10000.0,,17986.0,9624.0,,13756.0,,,,,,,8366.0,,,7143.0,2100.0,10000.0,5000.0,,,,19588.0,,,10000.0,,9654.0,8163.0,,,,10000.0,,10000.0,17320.0,,,,14758.0,13679.0,,,,4583.0,,9302.0,,,3268.0,,8333.0,,,7131.0,6217.0,,3143.0
1969,5106.0,,8313.0,8313.0,,4722.0,,10282.0,,,,,9479.0,8942.0,9722.0,,10000.0,,,11661.0,27968.0,,,14444.0,16007.0,20472.0,,4375.0,6008.0,7033.0,,11277.0,13480.0,,,20000.0,,,4167.0,,,,,7505.0,7143.0,3875.0,,7143.0,,,17570.0,12675.0,10000.0,,18435.0,9171.0,,11185.0,7000.0,,,,,,8185.0,,,7143.0,2249.0,10000.0,5000.0,,,,20337.0,,,10000.0,,9201.0,7231.0,,,,10000.0,,10000.0,4635.0,,,,14822.0,13220.0,,,,4545.0,,15000.0,,,5467.0,,8333.0,,,14677.0,6277.0,,3429.0
1970,6911.0,,10123.0,10123.0,,4500.0,,8750.0,,,,,11441.0,9173.0,10000.0,,9667.0,,,11439.0,14591.0,,,14444.0,20848.0,19835.0,14938.0,4375.0,9836.0,7164.0,,10320.0,10909.0,,,23636.0,,,5183.0,,,,,7852.0,8421.0,3135.0,,,,,19203.0,13021.0,10000.0,,17941.0,10919.0,,10784.0,8003.0,,,,,,8185.0,,,7143.0,2400.0,10000.0,5000.0,,,,20482.0,,,10870.0,,10942.0,8000.0,,,,10000.0,,10000.0,19107.0,,,,15246.0,13190.0,,,,5379.0,,15000.0,,,5436.0,,8750.0,,,8301.0,6974.0,,3429.0
